Fuel_Type,body_type,kms_driven,transmission_type,owner_No,manufacturer,model,Manufacture_year,price,Insurance Validity,Mileage,Engine,Max Power,Torque,Seats
4,8,10000.0,0,1,28,218,2022,1700000.0,5,17.2,999.0,113.98,178.0,5
4,3,39959.0,1,1,20,139,2016,681000.0,6,21.4,1197.0,83.1,115.0,5
4,8,10000.0,0,1,9,66,2022,1689999.9999999998,5,14.2,1999.0,156.9,191.0,7
4,3,65484.0,1,3,20,138,2016,318000.0,5,24.39,998.0,65.71,89.0,5
4,3,49174.0,1,1,20,139,2017,688000.0,2,21.4,1197.0,83.1,115.0,5
4,8,20000.0,1,1,31,266,2022,1300000.0,5,20.08,999.0,113.98,178.0,5
4,3,50000.0,1,1,9,82,2009,265000.0,5,20.36,1197.0,78.9,111.7,5
4,9,40000.0,0,2,20,159,2018,645000.0,5,22.0,1197.0,81.8,113.0,5
4,8,30000.0,0,1,9,66,2022,2000000.0,5,14.2,1999.0,156.9,191.0,7
4,2,50000.0,0,3,1,11,2007,900000.0,5,10.9,2497.0,215.0,25.1,5
4,3,80000.0,1,1,20,158,2020,620000.0,5,21.21,1197.0,81.8,113.0,5
4,8,20000.0,1,1,16,111,2022,1470000.0,5,15.43,1498.0,108.49,144.0,5
0,9,70000.0,1,1,9,65,2010,220000.00000000003,5,13.2,1495.0,93.7,124.5,5
1,9,90000.0,0,1,0,3,2014,1475000.0,5,17.11,1968.0,174.33,380.0,5
4,3,40000.0,1,1,27,210,2020,415000.00000000006,5,21.74,999.0,67.0,91.0,5
4,3,63797.0,1,1,8,61,2016,610000.0,2,18.7,1199.0,88.7,110.0,5
4,3,60216.0,1,2,9,72,2018,560000.0,2,18.9,1197.0,81.86,113.75,5
4,3,10000.0,0,2,20,138,2015,425000.0,5,23.95,998.0,67.05,90.0,5
4,3,38153.0,1,1,20,139,2016,686000.0,2,21.4,1197.0,83.1,115.0,5
4,3,76485.0,1,1,20,158,2015,517000.0,2,22.38,1197.0,88.5,113.0,5
4,3,40000.0,1,2,20,163,2015,385000.0,5,20.51,998.0,67.04,90.0,5
4,3,40623.0,1,1,20,139,2016,675000.0,2,21.4,1197.0,83.1,115.0,5
1,9,18000.0,0,2,21,171,2018,3300000.0,5,19.27,1496.0,167.62,400.0,5
4,3,88051.0,1,1,20,158,2014,499000.0,5,22.38,1197.0,88.5,113.0,5
4,3,16522.0,1,1,20,158,2022,774000.0,4,22.38,1197.0,88.5,113.0,5
1,8,70000.0,1,2,12,94,2019,1475000.0,5,16.3,1956.0,170.0,350.0,5
4,3,80000.0,1,3,20,163,2008,240000.0,5,18.9,1061.0,67.0,84.0,5
1,8,50000.0,1,1,9,79,2019,1025000.0,5,23.7,1396.0,88.76,219.6,5
4,8,10000.0,1,1,29,237,2023,1400000.0,5,17.33,1199.0,118.35,170.0,5
4,3,57000.0,1,2,9,69,2013,285000.0,5,21.1,814.0,55.2,74.5,5
1,8,110000.0,1,1,17,131,2016,1000000.0,5,16.0,2179.0,140.0,330.0,7
4,3,10000.0,1,1,20,139,2019,780000.0,5,21.4,1197.0,83.1,115.0,5
4,3,50000.0,1,2,20,158,2012,475000.0,5,18.6,1197.0,85.8,114.0,5
1,8,120000.0,1,1,17,130,2019,750000.0,5,20.0,1497.0,115.0,300.0,5
4,3,35469.0,1,1,9,72,2014,555000.0,2,18.9,1197.0,82.0,114.0,5
4,3,40073.0,1,2,8,61,2017,607000.0,5,18.7,1199.0,88.7,110.0,5
4,3,65730.0,1,2,9,72,2017,513999.99999999994,5,18.9,1197.0,81.86,113.75,5
4,9,120000.0,1,2,20,139,2005,250000.0,5,15.4,1590.0,94.0,130.0,5
4,3,36184.0,1,2,20,139,2016,705000.0,4,21.4,1197.0,83.1,115.0,5
4,3,69310.0,1,1,20,139,2016,653000.0,2,21.4,1197.0,83.1,115.0,5
4,9,55643.0,0,1,8,58,2015,872000.0000000001,5,18.0,1497.0,117.3,145.0,5
4,3,62803.0,0,2,9,72,2017,564000.0,5,18.9,1197.0,81.86,113.75,5
1,3,90000.0,1,2,31,264,2011,370000.0,5,22.07,1199.0,73.9,180.0,5
4,3,68656.0,1,1,20,158,2015,550000.0,5,22.38,1197.0,88.5,113.0,5
4,3,77501.0,1,3,8,61,2016,517000.0,2,18.7,1199.0,88.7,110.0,5
4,9,40000.0,1,1,20,159,2016,620000.0,5,20.85,1197.0,83.14,115.0,5
4,9,40000.0,1,1,20,159,2016,620000.0,5,20.85,1197.0,83.14,115.0,5
4,9,48325.0,0,1,8,58,2014,750000.0,5,18.0,1497.0,117.3,145.0,5
4,8,30000.0,1,1,29,237,2022,1220000.0,5,17.57,1199.0,118.36,170.0,5
1,3,100000.0,0,2,21,170,2013,1350000.0,2,14.8,2143.0,120.7,200.0,5
4,3,69000.0,1,1,20,158,2015,575000.0,2,22.0,1197.0,81.8,113.0,5
1,8,110000.0,1,1,12,94,2018,1250000.0,5,17.1,1956.0,170.0,350.0,5
4,9,50000.0,1,2,9,80,2016,868000.0,5,17.01,1591.0,121.3,154.9,5
1,5,60000.0,0,1,13,98,2020,3000000.0,5,14.11,2199.0,197.2,440.0,8
4,3,20000.0,1,1,9,83,2021,980000.0000000001,5,20.0,998.0,118.36,171.62,5
4,3,14999.0,0,1,20,158,2022,900000.0,4,22.56,1197.0,88.5,113.0,5
4,3,90773.0,1,2,8,61,2016,550000.0,2,18.7,1199.0,88.7,110.0,5
