Fuel_Type,body_type,kms_driven,transmission_type,owner_No,manufacturer,model,Manufacture_year,price,Insurance Validity,Mileage,Engine,Max Power,Torque,Seats
Petrol,Hatchback,75523.0,Manual,2,Hyundai,Hyundai i10,2011,312000.0,Comprehensive,20.36,1197.0,78.9,111.8,5
Diesel,SUV,47000.0,Manual,1,Mahindra,Mahindra XUV500,2015,1275000.0,Comprehensive,16.0,2179.0,140.0,330.0,7
Diesel,SUV,36500.0,Manual,1,Tata,Tata Harrier,2022,1989999.9999999998,Comprehensive,16.35,1956.0,167.67,350.0,5
Petrol,MUV,28253.0,Manual,1,Renault,Renault Triber,2020,719000.0,Comprehensive,20.0,999.0,71.01,96.0,7
Diesel,SUV,50000.0,Manual,1,Hyundai,Hyundai Creta,2016,1260000.0,Third Party insurance,19.67,1582.0,126.2,259.9,5
Petrol,Hatchback,90000.0,Manual,2,Hyundai,Hyundai i10,2010,300000.0,Third Party insurance,20.36,1197.0,78.9,111.7,5
Diesel,SUV,70000.0,Automatic,2,BMW,BMW X5,2016,3981000.0,Third Party insurance,15.97,2993.0,258.0,560.0,5
Petrol,Hatchback,52571.0,Manual,1,Hyundai,Hyundai i20,2016,627000.0,Comprehensive,18.6,1197.0,81.83,114.7,5
Diesel,Sedan,70000.0,Automatic,2,BMW,BMW 3 Series,2010,1300000.0,Third Party insurance,16.07,1995.0,181.0,380.0,5
Petrol,Sedan,61993.0,Manual,1,Honda,Honda City,2015,672000.0,Comprehensive,17.4,1497.0,117.3,145.0,5
Diesel,SUV,57000.0,Automatic,1,Hyundai,Hyundai Tucson,2017,1825000.0,Comprehensive,16.38,1995.0,182.46,400.11,5
Diesel,SUV,80000.0,Manual,2,Toyota,Toyota Fortuner,2021,3500000.0,Third Party insurance,14.24,2755.0,174.5,420.0,7
Petrol,Hatchback,36359.0,Manual,1,Hyundai,Hyundai i20,2013,440000.00000000006,Comprehensive,18.5,1197.0,82.85,113.7,5
Diesel,SUV,70000.0,Manual,2,Tata,Tata Harrier,2019,1460000.0,Third Party insurance,17.0,1956.0,138.1,350.0,5
Petrol,Sedan,30301.0,Automatic,1,Hyundai,Hyundai Verna,2017,1033000.0,Comprehensive,17.0,1591.0,121.3,151.0,5
Petrol,Hatchback,66000.0,Manual,1,Hyundai,Hyundai i10,2010,275000.0,Comprehensive,20.36,1197.0,78.9,111.8,5
Petrol,Hatchback,56010.0,Manual,1,Hyundai,Hyundai i20,2017,676000.0,Comprehensive,18.6,1197.0,81.83,114.7,5
Diesel,SUV,47000.0,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2017,4290000.0,Comprehensive,17.9,2143.0,170.0,400.0,5
Diesel,SUV,60000.0,Manual,2,Nissan,Nissan Terrano,2014,650000.0,Third Party insurance,19.01,1461.0,108.5,248.0,5
Diesel,Hatchback,83829.0,Manual,1,Maruti,Maruti Swift,2014,444000.00000000006,Third Party insurance,25.2,1248.0,74.0,190.0,5
Petrol,Hatchback,10000.0,Automatic,1,Renault,Renault KWID,2020,509999.99999999994,Third Party insurance,22.0,999.0,67.0,91.0,5
Diesel,SUV,35000.0,Automatic,2,Renault,Renault Duster,2016,925000.0,Comprehensive,19.6,1461.0,108.45,245.0,5
Petrol,Sedan,51116.0,Automatic,2,Honda,Honda City,2019,1024000.0,Comprehensive,18.0,1497.0,117.6,145.0,5
Diesel,Sedan,80000.0,Manual,3,Skoda,Skoda Rapid,2016,500000.0,Third Party insurance,21.14,1498.0,103.52,250.0,5
Petrol,Hatchback,40000.0,Automatic,2,Volkswagen,Volkswagen Polo,2017,994999.9999999999,Third Party insurance,17.21,1197.0,103.5,175.0,5
Petrol,SUV,85565.0,Automatic,2,Honda,Honda CR-V,2012,935000.0,Comprehensive,11.1,2354.0,158.8,218.0,5
Petrol,SUV,36916.0,Manual,1,Ford,Ford Ecosport,2018,834000.0,Comprehensive,17.0,1497.0,121.36,150.0,5
Diesel,Hatchback,90000.0,Manual,1,Volkswagen,Volkswagen Polo,2015,560000.0,Third Party insurance,20.14,1498.0,88.8,230.0,5
Petrol,Hatchback,112795.0,Manual,1,Maruti,Maruti Swift,2012,454000.0,Comprehensive,22.38,1197.0,88.5,113.0,5
Petrol,MUV,120000.0,Manual,2,Toyota,Toyota Innova,2014,1100000.0,Third Party insurance,11.4,1998.0,130.1,181.0,7
Petrol,Hatchback,36685.0,Manual,2,Honda,Honda Brio,2016,462000.0,Comprehensive,19.4,1198.0,86.8,109.0,5
Diesel,SUV,120000.0,Automatic,2,Hyundai,Hyundai Santa Fe,2012,900000.0,Third Party insurance,11.72,2199.0,194.3,436.4,7
Petrol,Sedan,4000.0,Automatic,1,BMW,BMW 6 Series,2022,7900000.0,Comprehensive,13.32,1998.0,254.79,400.0,4
